Age Group,Phase,Domain,Option Count,Warnings
primary,Curiosity Activation,Arts & Creative Expression,5,
primary,Curiosity Activation,"Business, Economics & Entrepreneurship",5,
primary,Curiosity Activation,"Health, Medicine & Life Sciences",5,
primary,Curiosity Activation,STEM,5,
primary,Engagement Sustainment,Arts & Creative Expression,6,
primary,Engagement Sustainment,"Business, Economics & Entrepreneurship",6,
primary,Engagement Sustainment,"Health, Medicine & Life Sciences",6,
primary,Engagement Sustainment,STEM,6,
primary,Personal Relevance Formation,Arts & Creative Expression,5,
primary,Personal Relevance Formation,"Business, Economics & Entrepreneurship",5,
primary,Personal Relevance Formation,"Health, Medicine & Life Sciences",5,
primary,Personal Relevance Formation,STEM,5,
primary,Passion-Driven Mastery,Arts & Creative Expression,4,
primary,Passion-Driven Mastery,"Business, Economics & Entrepreneurship",4,
primary,Passion-Driven Mastery,"Health, Medicine & Life Sciences",4,
primary,Passion-Driven Mastery,STEM,4,
secondary,Curiosity Activation,Arts & Creative Expression,5,
secondary,Curiosity Activation,"Business, Economics & Entrepreneurship",5,
secondary,Curiosity Activation,"Health, Medicine & Life Sciences",5,
secondary,Curiosity Activation,STEM,5,
secondary,Engagement Sustainment,Arts & Creative Expression,6,
secondary,Engagement Sustainment,"Business, Economics & Entrepreneurship",6,
secondary,Engagement Sustainment,"Health, Medicine & Life Sciences",6,
secondary,Engagement Sustainment,STEM,6,
secondary,Personal Relevance Formation,Arts & Creative Expression,5,
secondary,Personal Relevance Formation,"Business, Economics & Entrepreneurship",5,
secondary,Personal Relevance Formation,"Health, Medicine & Life Sciences",5,
secondary,Personal Relevance Formation,STEM,5,
secondary,Passion-Driven Mastery,Arts & Creative Expression,4,
secondary,Passion-Driven Mastery,"Business, Economics & Entrepreneurship",4,
secondary,Passion-Driven Mastery,"Health, Medicine & Life Sciences",4,
secondary,Passion-Driven Mastery,STEM,4,
highered,Curiosity Activation,Arts & Creative Expression,5,
highered,Curiosity Activation,"Business, Economics & Entrepreneurship",5,
highered,Curiosity Activation,"Health, Medicine & Life Sciences",5,
highered,Curiosity Activation,STEM,5,
highered,Engagement Sustainment,Arts & Creative Expression,5,
highered,Engagement Sustainment,"Business, Economics & Entrepreneurship",5,
highered,Engagement Sustainment,"Health, Medicine & Life Sciences",5,
highered,Engagement Sustainment,STEM,5,
highered,Personal Relevance Formation,Arts & Creative Expression,5,
highered,Personal Relevance Formation,"Business, Economics & Entrepreneurship",5,
highered,Personal Relevance Formation,"Health, Medicine & Life Sciences",5,
highered,Personal Relevance Formation,STEM,5,
highered,Passion-Driven Mastery,Arts & Creative Expression,5,
highered,Passion-Driven Mastery,"Business, Economics & Entrepreneurship",5,
highered,Passion-Driven Mastery,"Health, Medicine & Life Sciences",5,
highered,Passion-Driven Mastery,STEM,5,
